internalTaxonId,scientificName,name,language,main
58521336,Tulostoma niveum,Sammaljalkakuukunen,Finnish,false
58521336,Tulostoma niveum,Tulostome Blanc de Neige,French,false
58521336,Tulostoma niveum,Vit Stjälkröksvamp,Swedish,false
58521336,Tulostoma niveum,Weisser Stielbovist,German,false
58521336,Tulostoma niveum,White Stalk Puffball,English,true
70560176,Nothophantes horridus,Horrid Ground-weaver,English,true
68460220,Pseudomogoplistes vicentae,Atlantic Beach-cricket,English,true
79740183,Sorbus admonitor,No Parking Tree,English,true
79748410,Sorbus cambrensis,Welsh Whitebeam,English,true
79748432,Sorbus cheddarensis,Cheddar Whitebeam,English,true
79748466,Sorbus cuneifolia,Llangollen Whitebeam,English,true
79748504,Sorbus devoniensis,Devon Whitebeam,English,true
79748575,Sorbus eminentoides,Twin Cliffs Whitebeam,English,true
79749246,Sorbus leighensis,Leigh Wood's Whitebeam,English,true
79749266,Sorbus margaretae,Margaret's Whitebeam,English,true
79749277,Sorbus minima,Least Whitebeam,English,true
79749327,Sorbus parviloba,Ship Rock Whitebeam,English,true
79749347,Sorbus porrigentiformis,Grey-leaved Whitebeam,English,true
79749367,Sorbus pseudomeinichii,Catacol Whitebeam,English,true
79749438,Sorbus rupicoloides,Gough's Rock Whitebeam,English,true
79749856,Sorbus stenophylla,Llanthony Whitebeam,English,true
79749967,Sorbus stirtoniana,Stirton's Whitebeam,English,true
79750042,Sorbus whiteana,White's Whitebeam,English,true
61966807,Ulmus glabra,Βουνοφτελιά,"Greek, Modern (1453-)",false
61966807,Ulmus glabra,Wych Elm,English,true
34728,Sorbus eminens,Cerddinen Mynwy,Welsh,false
34728,Sorbus eminens,Round-leaved Whitebeam,English,true
34739,Sorbus leptophylla,Thin-Leaved Whitebeam,English,true
34723,Sorbus leyana,Ley's Whitebeam,English,false
34723,Sorbus leyana,Cerddinen Darren Fach,Welsh,false
34723,Sorbus leyana,Ley's Whitebeam,English,true
34722,Sorbus subcuneata,Somerset Whitebeam,English,true
34725,Sorbus vexans,Bloody Whitebeam,English,true
34732,Sorbus wilmottiana,Wilmott's Whitebeam,English,true
34735,Sorbus arranensis,Arran Whitebeam,English,true
34741,Sorbus bristoliensis,Bristol Whitebeam,English,true
34720,Sorbus pseudofennica,Arran Cut-leaved Whitebeam,English,false
34720,Sorbus pseudofennica,Arran Service-tree,English,true
83571713,Lycopodium issleri,Issler's Clubmoss,English,false
83571713,Lycopodium issleri,Issler-Flachbärlapp,German,false
83571713,Lycopodium issleri,Lycopode d’Issler,French,false
83571713,Lycopodium issleri,Hybrid Alpine Clubmoss,English,true
78591552,Adelanthus lindenbergianus,Lindenberg's Featherwort,English,true
86091653,Sorbus greenii,Green's Whitebeam,English,true
86095479,Sorbus herefordensis,Herefordshire Whitebeam,English,true
86105340,Sorbus richii,Rich's Whitebeam,English,true
87543416,Lejeunea mandonii,Atlantic Pouncewort,English,true
87544340,Radula carringtonii,Carrington's Scalewort,English,true
87544353,Radula holtii,Holt's Scalewort,English,true
84329423,Bruchia vogesiaca,Bruchia Moss,English,true
87492490,Cephaloziella calyculata,Entire Threadwort,English,true
87492600,Cephaloziella dentata,Toothed Threadwort,English,true
86484850,Dendrocryphaea lamyana,Multi-fruited Cryphaea,English,true
87540862,Codonoblepharon forsteri,Forster's Yoke-moss,English,false
87540862,Codonoblepharon forsteri,Knothole Moss,English,true
87486156,Biantheridion undulifolium,Marsh Flapwort,English,true
83659796,Andreaea frigida,Icy Rock-moss,English,true
83658361,Anthoceros agrestis,Field Hornwort,English,true
85845927,Schistidium flaccidum,Chubby Grimmia,English,true
87539052,Phaeoceros carolinianus,Carolina Hornwort,English,true
87540926,Zygodon gracilis,Slender Yoke-moss,English,true
87541043,Pallavicinia lyellii,Veilwort,English,true
87543575,Porella arboris-vitae,Bitter Scalewort,English,true
84534637,Acaulon muticum,Rounded Pygmy-moss,English,true
